NODE,Æ½¾ùÖµ,NUM=162,NUM=243,NUM=324,NUM=405,NUM=486,NUM=567,NUM=648,NUM=729,NUM=810,NUM=891,NUM=972,NUM=1053,NUM=1134,NUM=1215,NUM=1296,NUM=1377,NUM=1458,NUM=1539,NUM=1620,NUM=1701,NUM=1782,NUM=1863,NUM=1944,NUM=2025,NUM=2106,NUM=2187,NUM=2268,NUM=2349,NUM=2430
B12,44.5862069,20,37,50,60,52,57,51,56,51,47,51,48,45,49,46,44,42,46,44,42,41,39,43,41,40,38,37,36,40
E23,42.82758621,24,36,44,49,43,48,42,47,43,40,47,43,41,45,44,42,41,45,43,43,44,41,47,43,42,44,44,41,46
B13,42.03448276,21,36,48,57,47,53,47,52,47,43,47,43,41,45,43,42,40,44,42,40,39,38,41,39,38,37,36,35,38
C26,41.93103448,29,42,51,60,51,57,51,56,50,46,50,46,43,46,43,41,39,42,39,37,36,33,36,34,33,32,31,30,32
D29,41.93103448,24,35,41,50,43,50,44,47,44,41,46,43,41,45,43,41,40,44,41,42,40,39,44,42,41,41,40,40,44
C14,41.79310345,26,40,53,63,53,60,53,57,51,46,50,46,43,45,43,40,38,40,38,36,35,33,35,34,33,31,30,29,31
D34,41.62068966,25,34,39,45,39,44,41,46,44,41,45,42,40,45,43,41,41,45,44,43,41,40,45,43,42,42,42,40,45
D28,39.24137931,20,36,41,47,41,45,42,44,41,38,43,40,38,43,40,38,37,40,38,38,37,37,42,40,38,38,37,38,41
C13,38.89655172,26,43,53,59,50,54,49,52,47,43,46,42,39,42,39,37,35,37,35,33,32,30,32,31,30,29,28,27,28
C12,38.82758621,27,41,53,59,50,54,48,52,47,43,46,42,39,42,39,37,35,37,35,33,32,30,32,31,30,29,28,27,28
C25,38.62068966,23,38,48,56,49,54,48,52,47,42,46,42,39,42,40,37,35,38,36,34,33,31,33,32,31,30,28,27,29
B15,38.34482759,15,31,42,50,43,48,43,47,43,40,43,41,38,43,40,38,37,40,39,37,36,35,37,36,36,34,33,32,35
E24,37.10344828,18,27,34,39,35,39,36,39,35,35,40,37,36,40,38,37,36,42,39,39,39,36,41,39,38,41,41,38,42
B14,35.93103448,25,35,41,47,40,44,40,44,40,37,39,37,35,38,37,35,34,37,36,34,33,32,34,33,32,31,30,29,33
